"Dealer Name","Address","City","State","Contact"
"HK Nissan","Plot No 221, NH 1A, Nowgam Bypass, Srinagar - 190018","Srinagar","Jammu & Kashmir","+918657731118"
"HK Nissan","National Highway, Bypass Crossing, Athwajan, Srinagar - 191101","Srinagar","Jammu & Kashmir","+918657731123"
"Animesh Nissan","Ground Floor, GT Road, Govindpur, Ratanpura, Dhanbad - 826004","Dhanbad","Jharkhand","+918657731153"
"Bhalotia Nissan","Ground Floor,7th Phase, Adityapur Industrial Area, Gamharia, Jamshedpur - 832109","Jamshedpur","Jharkhand","+918657731152"
"Titan Nissan","1st Floor, Main Road, Bagroy Market, Ranchi - 834001","Ranchi","Jharkhand","+917506233690"
"Titan Nissan","Ground Floor, NH 33, Ormanjhi, Chakla, Ranchi - 835219","Ranchi","Jharkhand","+917506238746"
"Surya Nissan","Sy No 9/1, Marathalli Ring Rd, Doddanekundi, KR Puram, Bengaluru - 560037","Bengaluru","Karnataka","+919606937956"
"Surya Nissan","No 8A, Hosur Main Road, Garvebhavipalya, Bengaluru - 560068","Bengaluru","Karnataka","+919845128333"
"Apple Nissan","No 810, 5th Block, 3rd Stage, 100 Ft Ring Rd, Hosakerahalli, Bengaluru - 560085","Bengaluru","Karnataka","+918026421777"
"Swasti Nissan","Ground Floor, Old PB Road, Nehru Nagar, Belgaum - 590016","Belgaum","Karnataka","+918095064900"
"Aarya Nissan","Sedam Road, Kusnoor, Gulbarga - 585102","Gulbarga","Karnataka","+918472225888"
"Honnassiri Nissan","No 193/5, Hunsur Main Road, Hinkel, Mysore - 570017","Mysore","Karnataka","+919900065530"
"EVM Nissan","Angels Plaza, TVS Junction, South Kalamaserry, Ernakulam - 682022","Ernakulam","Kerala","+919995809220"
"EVM Nissan","Building No XVI/139E, Intuc Jn, Maradu, Nettoor, Ernakulam - 682040","Ernakulam","Kerala","+919995066666"
"Swasti Nissan","Bellad Chamber 2, Uncal Cross, Vidya Nagar, Kottayam - 686016","Kottayam","Kerala","+918095700869"
"EVM Nissan","Ground Floor, MC Road, Thellakom, Ettumanoor, Kottayam - 686630","Kottayam","Kerala","+919567046666"
"EVM Nissan","Ground Floor, Pavangad, Puthiyangadi, Kozhikode - 673021","Kozhikode","Kerala","+919995046666"
"EVM Automobile Nissan","Bld No 3/837 B, Thirurkkad, Malappuram - 679321","Malappuram","Kerala","+919895200634"
"Pinnacle Nissan","Coimbatore Road, Kunnathurmedu, Palakkad - 678013","Palakkad","Kerala","+919048188888"
"EVM Nissan","Ground Floor, MC Rd, Nangelipady, Perumbavoor, Perumbavoor - 683541","Perumbavoor","Kerala","+918129066622"
"Marikar Nissan","Ground Floor, Chakkai Bypass, Venpalavattom, Anayara, Thiruvananthapuram - 695029","Thiruvananthapuram","Kerala","+919847869202"
"Pinnacle Nissan","Puzhakkalpadam, Guruvayur Road, Ayyanthole, Thrissur - 680003","Thrissur","Kerala","+918593800888"
"Pinnacle Nissan","Door No VPX 10/6740, Bypass Road, Mulluvila, Thrissur - 680014","Thrissur","Kerala","+918113000888"
"Pinnacle Nissan","Pinnacle Motor Works Pvt Ltd, NH 47, Mannuthy Byepass, Kuttanellur, Thrissur - 680014","Thrissur","Kerala","+918111885005"
"Shree Krishna Nissan","Nagpur Road, Sarra, Chhindwara - 480001","Chhindwara","Madhya Pradesh","+917162226165"
"Sumedha Nissan","Ground Floor, Shivpuri Link Road, Kedarpur, Gwalior - 474001","Gwalior","Madhya Pradesh","+917045690344"
"Shree Krishna Nissan","Rasuliya Road, New Hanuman Nagar, Rajeev Nagar, Hoshangabad - 461001","Hoshangabad","Madhya Pradesh","+918657588164"
"Anand Nissan","No 2/E/A, Scheme No 54, Brilliant Star, Vijay Nagar, MR 10 Road, Manorma Ganj, Indore - 452010","Indore","Madhya Pradesh","+917314715050"
"Platinum Nissan","Ground Floor, Andhua Bypass, NH 7, Jabalpur - 482002","Jabalpur","Madhya Pradesh","+917045690341"
"Galaxy Nissan","Ground Floor, Salakheri, Mhow Neemuch Road, Ratlam - 457001","Ratlam","Madhya Pradesh","+917045690351"
"Aztral Nissan","Shop No 9 to 14, 1st Floor, B Wing, Raja Bansilal Market, Aurangabad - 431001","Aurangabad","Maharashtra","+918657731116"
"Shriram Nissan","No E 55, MIDC, Kalamb Road, Latur - 413512","Latur","Maharashtra","+912382224499"
"ETCO Nissan","Ground Floor, Kamdhenu Realities, Sion Panvel Highway, Juhi Nagar, Mumbai - 400706","Mumbai","Maharashtra","+917045690265"
"Provincial Nissan","No G17/18, Central MIDC Road, MIDC Hingna, Nagpur - 440028","Nagpur","Maharashtra","+917447416232"
"Takekar Nissan","Shop No 3 & 4, Shreeji Sky Green Apt, New link Road, Tidke Colony Road, Nashik - 422007","Nashik","Maharashtra","+917263069009"
"ETCO Nissan","Plot No 41, Industrial Estate Ltd, Panvel, Panvel - 410206","Panvel","Maharashtra","+917045690275"
"Landmark Nissan","No 38/4, Krushna Complex, Shankar Nagar, Kharadi Hadapsar Bypass Rd, Kharadi, Pune - 411014","Pune","Maharashtra","+917045690285"
"Shriram Nissan","Plot No 24, Hotagi Road, Industrial Area, Solapur - 413003","Solapur","Maharashtra","+917350751111"
"Ritu Nissan","Ground Floor, Godbhunder Road, Vibgyor, Patlipada, Thane - 400607","Thane","Maharashtra","+919769806560"
