"Dealer Name","Address","City","State","Contact"
"Vignesh Moteurx - Kagithapatarai","73, M. P. Sarathy Nagar","Vellore","Tamil Nadu","9047466613 ,   9043033191"
"Vignesh Moteurx Pvt Ltd (Villupuram)","No 62 B Old Chennai Road, Opp Aanandha Mahal Marriage Hall","Villupuram","Tamil Nadu","04146 222238"
"Radar Motors - Padma Colony","2-1-461, Street No-4, Beside Vijaya Bank, Nallakunta, New Nallakunta","Hyderabad","Telangana","7997272327,  7997572327"
"Kings Auto Vespa - Mansoorabad","Saraswathi Nagar, 3-9-365/2, Chintalkunta, Check Post, LB Nagar","Hyderabad","Telangana","9866011418"
"Belman Motors","4-8-149/a, Sai Nagar, Attapur Village, Ranga Reddy","Hyderabad","Telangana","9133399528"
"Radar Motors - Uppal","Pillar No-17, Nagole Road","Hyderabad","Telangana","7997272327 ,  7997572327"
"Shrey Motoplex - Jubilee Hills","8-2-293/82/A/1096 UGF, Rd Number 36, Near Pedhamma Temple","Hyderabad","Telangana","9493174602, 9100033787"
"Ashwam Auto","Shop No. 4 & 5, Door No: 10-5-2/7/G-A, Aar- Kay Center, Road No. 1, Banjara Hills","Hyderabad","Telangana","9133174466 ,  9133171166"
"Shrey Automotives - Malakpet","Shop No - 140, Mahboob Mansion, Sri Krupa Market","Hyderabad","Telangana","9100033787"
"SPR Vespa","H.No.3-6-773, Street No.15","Hyderabad","Telangana","9030048490"
"Radar Motors - Narayanguda","3-6-772, New Street No. 15, Near Taj Mahal Hotel, Himayathnagar","Hyderabad","Telangana","9030072327"
"Haran Motors","D No-5-5-34/1, Moosapet Y Junction","Hyderabad","Telangana","7997283444"
"Shrey Automotives - Sainikpuri","H NO:38-12/3/1, Siva Sai Nagar, Sainikpuri","Hyderabad","Telangana","7893849922"
"Aaaro Motors","1-111/1, Plot No. 6, NUK Amrutha Estates, Opp KFC, Beside Domino's","Hyderabad","Telangana","8444834448"
"Kings Auto Vespa","H.No.16-10 Plot No. 34, Mahboob Mansion","Hyderabad","Telangana","9866011418"
"Premier Automobiles","D.No.2-62, Gachibowli Street No.3 Arch, Opp. Govt. School, Kondapur Road","Hyderabad","Telangana","9849059988 ,  9849069988"
"Shrey Automotives - Begumpet","2-11-30/6, S P Road ,Adj to Anand Theatre ,Begumpet, Paigah Colony","Hyderabad","Telangana","9493174602, 9100033787"
"Smart Auto","Plot No  729, Kavya House, Road No. 36, Jubilee Hills, Next To Ibp Petrol Station","Hyderabad","Telangana","040 2355 2377"
"Shivam Motors","Door No: 11-4-103/1, Survey No: - 62, Beside SVS Dental College","Mahbubnagar","Telangana","9491402020"
"Milano Motors","15-1-338,Sharada Arcade, Mulugu Crossroad,Beside Anika Bajaj Showroom","Warangal","Telangana","8886885376"
"JMD Motors Vespa","G-3, Doctor Shyam Prasad Mukh Marg, Block G","Ghaziabad","Uttar Pradesh","7065585518"
"Pardeshi Zigwheels","Plot A17, Kailash Puri Colony","Gorakhpur","Uttar Pradesh","7570008286 ,  7570008290"
"SCA Vespa","127/618,S Block, Vinoba Nagar (Near Juhi Depo)","Kanpur","Uttar Pradesh","6392370614"
"Vandanay Auto Zone Private Limited","69  Punjabipura, Delhi Road","Meerut","Uttar Pradesh",""
"Pars Automobiles","Opp.Kashiramnagar Gate , Delhi Road , Majhole","Moradabad","Uttar Pradesh","9758007419"
"Bansal Auto","345/345 Bansal Tower","Dehradun","Uttaranchal","8272044440"
"Ghosh Automobile","571/1, Madhusudan Banerjee Rd, Pathanpur, Saptam Pally, Nabin Nagar, Nimta","Kolkata","West Bengal","7890018761"
"Speed Auto Service - Vespa","8, Beck Bagan Row, Beck Bagan","Kolkata","West Bengal","7604030990, 9007068682"
"Skylark Motors","Rabindra Bhavan, Near - Gour Banga University","Malda","West Bengal","8001656666"
